birth_year,sex,race,party_id,educ_2017,ft_black_2017,ft_white_2017,ft_hisp_2017,ft_asian_2017,ft_muslim_2017,ft_jew_2017,ft_christ_2017,ft_fem_2017,ft_immig_2017,ft_gays_2017,ft_unions_2017,ft_police_2017,ft_altright_2017,ft_evang_2017,ft_dem_2017,ft_rep_2017
1957,Female,White,Independent,High school graduate,94,100,81,61,NA,59,100,55,60,50,91,95,77,100,9,80
1943,Female,White,Independent,High school graduate,50,51,50,50,50,50,22,50,50,50,50,32,1,1,0,1
1963,Male,White,Republican,2-year,100,100,100,100,6,98,97,NA,51,99,NA,100,99,97,NA,100
1953,Female,White,Republican,4-year,90,95,95,50,2,94,100,5,40,50,80,100,NA,89,1,90
1970,Male,White,Independent,High school graduate,68,84,75,65,28,76,93,2,56,12,12,91,39,86,4,70
1953,Female,White,Independent,4-year,88,96,88,89,48,89,79,5,90,51,10,96,29,62,6,71
1964,Female,White,Independent,4-year,50,50,50,50,50,50,50,56,50,52,52,89,25,20,59,41
1959,Female,White,Democrat,High school graduate,22,91,NA,99,9,41,90,11,50,45,50,99,0,0,61,2
1974,Male,Black,Democrat,Post-grad,100,99,99,99,94,99,54,100,99,100,100,52,NA,NA,51,NA
1983,Female,Asian,Democrat,4-year,100,98,98,100,98,100,26,93,95,98,74,77,64,2,68,5
1955,Female,White,Republican,High school graduate,86,73,77,89,73,88,97,3,91,51,18,94,78,94,25,91
1961,Female,White,Other,4-year,26,95,40,50,10,90,100,27,35,1,NA,89,50,99,50,50
1951,Female,Black,Democrat,High school graduate,100,79,59,52,53,56,100,91,50,51,100,81,NA,86,99,9
1942,Male,White,Democrat,4-year,100,99,100,100,100,100,91,89,99,89,90,99,21,50,100,51
1948,Female,White,Democrat,High school graduate,72,76,72,69,70,69,52,72,61,74,35,37,17,6,81,3
1975,Female,White,Independent,High school graduate,50,98,50,50,34,94,100,28,50,10,13,63,NA,94,50,60
1951,Female,White,Not sure,Post-grad,63,85,50,51,36,56,80,52,31,31,51,88,10,49,51,49
1959,Female,Hispanic,Republican,4-year,50,48,94,47,50,46,41,50,51,56,40,93,40,35,33,61
1944,Female,White,Democrat,High school graduate,1,100,5,6,3,100,99,2,99,6,30,100,NA,50,100,5
1944,Male,White,Republican,No HS,50,50,50,61,30,51,50,20,49,51,29,79,79,81,11,50
1959,Female,Hispanic,Democrat,4-year,53,53,94,92,100,62,97,88,56,NA,76,88,63,72,97,26
1955,Female,Black,Independent,Some college,100,70,80,59,49,75,65,76,75,84,51,30,54,51,70,40
1973,Female,White,Democrat,Some college,96,42,100,100,91,100,50,100,99,100,100,33,1,10,98,1
1964,Male,White,Republican,2-year,50,51,50,50,44,100,68,34,60,37,39,61,45,76,40,43
1978,Male,White,Independent,Post-grad,91,50,91,91,91,91,91,7,91,92,0,91,NA,91,0,NA
1966,Male,Mixed,Other,Post-grad,100,81,99,100,81,100,81,100,100,100,85,26,NA,50,63,NA
1973,Female,White,Independent,High school graduate,80,75,75,80,50,50,100,50,50,50,50,75,50,50,50,50
1978,Male,White,Independent,4-year,8,94,53,81,5,78,98,15,22,52,53,81,28,78,16,24
1961,Female,White,Republican,4-year,99,100,100,100,51,99,99,1,99,50,30,100,51,99,NA,NA
1943,Male,White,Independent,Post-grad,88,75,71,88,97,90,71,70,91,90,12,88,5,52,48,10
1957,Female,White,Independent,2-year,90,60,79,60,70,40,6,99,79,89,99,NA,NA,NA,97,NA
1970,Male,Black,Independent,Post-grad,9,95,73,81,75,95,74,27,31,89,6,50,5,11,28,32
1937,Male,White,Republican,Post-grad,83,81,79,77,72,82,78,35,81,80,30,79,29,39,38,78
1959,Female,White,Republican,2-year,99,100,100,100,96,100,100,90,64,100,100,100,NA,100,91,100
1972,Male,White,Independent,2-year,81,96,94,87,69,91,91,63,87,100,78,81,7,34,86,46
1946,Female,White,Democrat,High school graduate,86,100,68,93,56,84,100,62,79,76,24,76,NA,91,100,75
1982,Male,White,Republican,4-year,68,70,71,76,64,62,76,NA,76,69,62,59,73,67,78,66
1956,Female,White,Independent,Post-grad,60,60,60,60,55,90,79,70,60,50,78,10,0,35,31,4
1948,Female,White,Republican,Post-grad,100,81,81,98,22,95,100,41,52,2,23,100,NA,100,3,97
1955,Female,White,Republican,2-year,73,91,51,54,50,48,100,53,48,77,68,80,59,67,47,79
1944,Female,White,Republican,High school graduate,93,99,24,38,21,72,98,15,21,19,14,100,20,21,19,100
1938,Female,White,Republican,Some college,78,NA,90,80,51,75,80,31,76,50,47,99,NA,52,13,71
1971,Male,White,Democrat,4-year,50,72,NA,93,72,51,NA,86,75,97,99,50,NA,NA,100,NA
1983,Female,White,Republican,2-year,100,99,100,100,50,100,100,11,78,7,34,99,NA,100,3,100
1950,Male,Black,Democrat,2-year,80,80,80,90,80,50,50,25,50,50,90,50,0,10,75,0
1940,Female,White,Republican,High school graduate,31,81,81,81,11,100,100,10,40,20,21,99,50,100,0,70
1981,Female,White,Republican,4-year,50,58,50,50,51,51,50,51,51,36,50,51,50,50,43,53
1939,Female,Black,Democrat,4-year,94,21,79,75,70,85,94,85,71,69,84,50,5,5,80,6
1986,Male,White,Democrat,Post-grad,66,53,64,64,62,48,44,82,64,83,84,25,0,6,72,8
1949,Female,White,Republican,4-year,80,87,87,84,70,85,93,72,79,80,70,99,62,88,79,82
1978,Female,Black,Democrat,4-year,100,77,100,96,70,100,100,90,71,100,64,65,31,100,93,78
1965,Female,White,Independent,4-year,100,31,100,100,95,100,30,91,99,99,92,35,0,10,30,5
1960,Male,Black,Democrat,High school graduate,89,44,85,85,46,66,100,63,33,56,69,3,2,94,100,3
1944,Female,White,Democrat,High school graduate,92,88,98,74,71,69,1,98,80,98,96,42,1,1,97,0
1955,Female,White,Republican,High school graduate,8,70,38,13,4,59,76,34,12,77,62,97,42,59,31,74
1950,Female,White,Republican,High school graduate,60,85,74,73,34,25,76,61,NA,5,50,97,49,58,19,98
1991,Female,White,Independent,4-year,29,91,NA,61,7,91,64,90,22,87,NA,52,NA,60,NA,NA
1964,Female,Black,Democrat,4-year,100,67,100,80,61,62,100,100,53,83,78,54,NA,87,67,25
1933,Female,White,Republican,High school graduate,99,100,100,100,100,100,100,10,99,90,49,100,NA,100,9,100
1941,Female,White,Democrat,Post-grad,74,78,79,78,52,79,80,59,62,60,53,85,NA,30,97,25
1960,Female,Black,Democrat,Some college,75,56,70,80,68,72,89,73,78,82,81,66,34,78,78,50
1959,Male,White,Independent,High school graduate,100,100,100,100,10,100,100,6,76,100,100,100,50,50,4,50
1936,Male,White,Republican,Post-grad,80,94,80,95,81,95,90,81,81,56,31,96,26,61,50,78
1960,Male,Other,Other,Some college,80,90,80,55,3,90,90,2,80,20,4,85,6,90,1,50
1936,Female,Hispanic,Independent,High school graduate,100,89,99,24,27,98,99,NA,12,40,NA,100,NA,92,0,96
1946,Female,White,Independent,2-year,44,52,50,50,48,40,40,51,54,48,48,62,2,8,53,2
1957,Male,White,Republican,Post-grad,82,78,71,87,81,80,79,74,78,25,24,80,49,80,15,95
1956,Male,Black,Democrat,Post-grad,100,98,71,76,70,81,56,72,72,50,100,70,0,20,100,9
1957,Female,White,Republican,High school graduate,82,83,76,72,29,79,83,49,44,83,73,99,50,69,25,83
1951,Female,White,Democrat,High school graduate,91,98,60,70,74,50,94,66,69,53,52,81,50,NA,74,71
1964,Female,White,Republican,4-year,68,69,67,78,67,71,50,66,62,66,59,84,31,32,65,60
1960,Male,White,Democrat,High school graduate,19,90,50,80,3,100,100,1,50,0,50,100,0,100,10,21
1954,Female,White,Not sure,4-year,44,50,50,50,35,50,99,50,51,41,94,60,30,51,21,10
1965,Female,Black,Democrat,2-year,100,90,75,85,75,80,100,85,75,50,NA,50,NA,90,85,50
1950,Male,White,Independent,High school graduate,32,58,30,35,26,27,28,24,33,39,34,15,53,60,8,15
1963,Male,Other,Independent,Post-grad,91,90,91,NA,90,79,79,31,79,NA,79,88,12,78,11,30
1922,Male,White,Republican,Some college,65,94,70,60,2,84,96,96,41,2,5,100,49,72,2,100
1954,Male,White,Democrat,2-year,51,99,51,32,3,50,75,27,31,50,28,98,1,15,78,3
1949,Male,White,Democrat,High school graduate,80,91,90,81,78,89,79,90,80,89,90,95,1,30,90,19
1956,Male,Mixed,Independent,4-year,100,83,59,53,71,77,79,9,50,4,4,3,0,7,43,2
1954,Female,White,Republican,Some college,93,98,99,81,7,88,100,30,40,52,11,100,52,80,29,98
1955,Female,White,Republican,High school graduate,80,99,69,63,10,47,81,58,59,62,48,100,62,66,40,43
1977,Female,White,Democrat,4-year,94,96,81,98,95,100,52,26,81,85,6,80,2,41,79,9
1984,Male,White,Democrat,Some college,50,40,50,50,50,50,12,50,50,50,84,44,0,1,94,2
1942,Male,White,Independent,High school graduate,100,51,90,100,50,100,52,11,51,51,6,100,52,50,6,51
1947,Female,White,Independent,Some college,76,77,78,76,76,76,60,84,76,70,71,91,8,26,81,23
1955,Female,White,Not sure,High school graduate,50,50,50,50,50,50,50,50,50,1,50,50,NA,50,2,2
1948,Female,White,Independent,No HS,48,49,48,48,52,47,49,17,49,48,47,88,48,47,49,48
1963,Male,Black,Independent,2-year,79,70,74,63,52,51,47,63,74,56,55,56,17,13,71,23
1964,Male,White,Independent,4-year,100,100,100,100,81,100,100,90,100,90,14,100,90,100,41,80
1960,Female,White,Republican,High school graduate,NA,63,NA,NA,3,84,62,NA,2,1,NA,74,NA,32,2,21
1946,Male,Hispanic,Republican,2-year,53,71,56,72,12,49,88,16,25,36,5,94,NA,75,6,78
1984,Female,White,Republican,4-year,50,52,47,50,12,50,70,24,50,45,50,83,21,61,36,56
1962,Female,White,Independent,4-year,71,77,75,78,65,81,49,77,75,76,17,80,10,6,81,6
1947,Female,White,Republican,High school graduate,79,80,81,84,66,83,84,29,75,9,64,98,44,91,30,93
1979,Female,Black,Independent,2-year,61,27,59,53,41,53,88,82,79,NA,83,59,NA,38,91,NA
1941,Male,White,Democrat,Post-grad,78,84,80,77,77,82,82,70,82,75,60,76,3,50,80,40
1938,Female,White,Independent,Some college,70,85,80,80,31,60,85,50,50,51,61,85,NA,70,70,72
1951,Male,White,Democrat,2-year,73,95,80,78,71,78,87,51,81,71,100,89,21,50,55,41
1954,Male,Black,Democrat,Some college,75,34,66,50,54,67,71,22,60,52,19,60,6,52,76,8
1969,Female,White,Republican,4-year,34,70,36,68,10,50,99,51,24,15,31,91,NA,NA,16,64
1956,Female,White,Republican,4-year,93,99,74,71,6,98,98,49,50,74,26,99,79,50,43,83
1950,Male,Black,Republican,Post-grad,50,50,50,50,50,50,51,50,50,50,0,94,50,50,0,80
1974,Male,White,Republican,Post-grad,100,100,100,100,100,100,100,33,72,100,9,100,50,70,2,100
1978,Female,White,Democrat,Post-grad,89,53,77,75,50,91,45,97,86,98,100,61,2,19,95,1
1952,Male,Black,Independent,Some college,100,100,100,100,100,100,100,99,100,51,100,100,1,48,99,1
1969,Female,White,Democrat,2-year,100,50,100,100,100,100,3,100,100,100,99,11,NA,0,69,1
1963,Female,White,Republican,Post-grad,76,79,75,97,62,85,98,5,75,75,55,77,70,100,16,79
1955,Female,White,Democrat,Post-grad,90,83,92,92,88,92,83,88,88,85,76,78,1,6,84,16
1973,Female,White,Independent,4-year,93,51,97,98,52,50,52,98,52,51,48,44,0,1,79,11
1963,Male,Hispanic,Independent,Some college,51,51,51,51,51,51,0,100,51,100,100,51,0,0,74,1
1960,Female,White,Independent,4-year,49,100,6,70,10,100,6,85,85,100,50,31,0,0,21,81
1942,Male,White,Independent,High school graduate,63,94,82,78,22,96,87,50,50,51,50,100,5,87,2,82
1946,Male,White,Independent,Post-grad,27,NA,17,48,12,45,75,11,30,66,15,90,71,26,NA,79
1970,Female,White,Democrat,2-year,76,67,88,NA,55,NA,55,60,54,54,NA,NA,29,39,NA,NA
1956,Female,White,Republican,High school graduate,99,100,99,100,50,100,100,29,50,50,29,100,NA,99,3,80
1957,Female,White,Independent,High school graduate,100,100,89,52,50,51,100,81,70,100,98,100,53,91,28,79
1961,Female,White,Independent,High school graduate,72,87,15,70,4,87,93,51,0,95,22,89,NA,95,0,0
1965,Female,White,Democrat,High school graduate,71,100,50,78,50,79,100,88,40,91,6,100,33,97,51,73
1960,Female,White,Democrat,High school graduate,100,94,100,100,100,100,100,100,100,99,83,90,NA,87,100,NA
1963,Female,White,Democrat,High school graduate,50,49,75,98,47,50,47,68,51,99,48,53,40,50,81,50
1949,Female,White,Democrat,High school graduate,62,81,70,60,51,60,50,48,51,57,47,61,28,52,61,49
1940,Female,White,Democrat,2-year,98,99,50,20,30,50,71,NA,50,50,91,99,5,31,70,41
1963,Female,White,Democrat,4-year,80,90,81,94,51,95,0,90,50,94,51,69,0,1,95,0
1965,Male,White,Democrat,2-year,100,100,50,10,50,47,100,50,27,50,18,90,27,19,100,28
1945,Female,White,Democrat,2-year,22,70,24,44,26,81,29,82,41,62,49,71,NA,5,70,9
1953,Female,Black,Democrat,2-year,71,78,81,74,57,81,55,71,75,72,93,45,51,66,88,9
1954,Female,White,Democrat,High school graduate,100,100,100,100,81,100,100,46,100,53,100,100,44,100,100,35
1950,Male,White,Independent,High school graduate,50,50,71,91,70,90,89,60,70,79,70,90,21,90,11,69
1970,Male,White,Republican,Post-grad,81,75,84,100,72,85,98,38,79,78,50,88,59,59,7,96
1945,Male,White,Independent,Post-grad,89,85,60,63,50,68,87,47,100,48,27,100,52,59,31,59
1951,Female,Black,Democrat,2-year,80,52,51,53,49,NA,91,77,28,NA,49,48,NA,2,78,NA
1950,Male,White,Independent,High school graduate,61,61,51,50,11,81,41,6,31,5,8,80,50,16,26,66
1940,Female,White,Republican,High school graduate,91,81,80,81,80,81,80,3,81,70,70,95,NA,81,51,52
1953,Female,White,Democrat,2-year,75,79,60,79,60,47,70,67,65,65,75,91,10,10,83,45
1957,Female,White,Republican,4-year,84,85,62,75,27,97,95,52,69,38,59,97,76,88,46,96
1986,Male,Hispanic,Democrat,2-year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,Male,White,Independent,2-year,90,89,90,87,86,89,100,89,80,86,90,96,NA,100,89,90
1965,Female,White,Independent,High school graduate,7,52,NA,NA,NA,37,100,55,NA,42,NA,28,NA,81,NA,1
1948,Male,White,Democrat,High school graduate,50,79,22,31,59,49,61,53,13,20,49,82,NA,51,71,49
1943,Female,White,Republican,Some college,21,87,40,51,6,71,97,38,41,47,72,81,52,91,7,70
1955,Male,White,Independent,2-year,98,97,97,98,97,96,96,97,98,98,99,96,97,98,98,98
1980,Male,Hispanic,Republican,High school graduate,88,100,100,86,91,88,91,99,89,51,65,98,50,91,31,100
1954,Female,White,Independent,High school graduate,50,79,50,52,26,100,100,2,41,45,10,100,5,50,0,31
1950,Male,White,Independent,4-year,81,84,86,84,84,86,81,76,84,76,93,89,13,59,75,44
1968,Female,White,Democrat,Post-grad,78,71,59,70,74,91,27,100,77,100,57,77,4,8,99,21
1970,Female,White,Republican,High school graduate,79,90,83,92,44,92,100,2,62,9,9,99,NA,99,3,71
1950,Female,Hispanic,Independent,4-year,63,79,100,98,50,100,99,34,49,83,30,48,3,100,7,65
1955,Female,White,Republican,High school graduate,NA,84,100,54,NA,NA,100,NA,NA,100,NA,100,NA,100,NA,100
1944,Female,White,Independent,2-year,80,52,51,66,20,81,80,22,50,79,20,95,20,62,6,65
1941,Female,White,Independent,High school graduate,70,74,67,70,50,66,71,57,61,59,52,65,3,NA,50,21
1947,Female,White,Democrat,Some college,60,63,71,61,50,61,62,56,77,71,59,75,NA,41,80,61
1977,Female,White,Democrat,High school graduate,34,67,81,52,18,35,73,46,48,81,63,59,57,56,81,37
1941,Male,White,Republican,4-year,75,90,60,50,0,90,100,0,25,60,0,100,40,80,0,80
1943,Female,White,Independent,High school graduate,100,80,100,100,100,100,80,90,100,100,80,95,NA,NA,80,NA
1964,Male,White,Independent,4-year,95,100,94,52,70,98,31,75,91,100,53,74,8,10,99,42
1964,Female,White,Republican,High school graduate,71,71,71,71,21,71,60,22,50,20,18,77,50,51,20,71
1964,Male,White,Independent,Post-grad,51,50,51,51,50,51,25,99,74,52,76,29,2,2,51,14
1939,Female,Black,Democrat,2-year,94,88,92,100,88,93,99,94,81,79,76,88,NA,94,100,69
1962,Female,White,Independent,Some college,51,100,41,51,30,100,100,91,41,51,51,89,50,32,31,100
1934,Female,White,Independent,High school graduate,91,91,90,70,40,93,90,51,69,50,53,77,NA,99,60,66
1961,Female,White,Republican,2-year,100,100,100,100,21,100,100,0,100,38,32,99,100,100,6,90
1973,Female,Black,Democrat,4-year,100,50,50,51,NA,51,47,50,50,51,49,52,52,49,74,2
1959,Female,White,Democrat,2-year,83,86,86,86,62,84,91,87,41,62,84,85,NA,91,92,20
1957,Female,Hispanic,Republican,Post-grad,39,48,50,52,50,50,50,51,19,48,50,70,50,52,36,59
1948,Female,Black,Democrat,Some college,88,50,63,50,50,55,23,50,41,81,70,45,1,4,53,1
1961,Female,White,Independent,4-year,97,80,78,99,40,52,100,50,55,0,17,94,NA,99,9,47
1979,Female,White,Independent,Some college,3,31,8,5,7,21,20,25,14,NA,50,9,NA,20,13,22
1967,Male,White,Independent,4-year,51,51,51,51,51,92,81,51,50,50,2,80,51,80,1,41
1958,Male,Black,Democrat,Post-grad,100,100,98,100,69,100,100,78,56,85,91,94,50,80,81,50
1955,Female,White,Independent,4-year,53,53,53,51,45,53,100,48,53,50,3,97,NA,79,42,48
1966,Male,White,Republican,Post-grad,41,99,85,70,70,50,95,31,75,50,32,100,50,75,56,95
1948,Female,White,Democrat,High school graduate,79,98,70,81,90,90,90,95,83,79,100,52,50,79,100,7
1957,Male,White,Independent,Some college,100,100,99,95,94,100,99,4,81,95,50,100,0,100,12,80
1950,Female,Black,Democrat,High school graduate,100,100,100,100,100,100,100,100,100,100,100,50,0,NA,100,0
1954,Female,Native American,Not sure,Some college,84,87,79,81,2,66,86,21,22,77,86,80,NA,71,11,79
1957,Male,White,Democrat,Post-grad,50,50,50,50,51,50,59,50,50,50,81,59,1,11,85,3
1973,Female,White,Independent,4-year,87,87,88,88,88,88,89,88,87,88,82,87,80,88,87,87
1961,Male,White,Independent,Post-grad,50,50,50,50,50,50,50,90,50,50,90,50,5,50,60,41
1972,Female,White,Democrat,4-year,81,76,80,81,81,81,56,81,92,84,60,82,2,11,73,3
1967,Male,White,Other,Post-grad,76,98,90,98,35,100,97,30,97,51,30,97,50,97,25,35
1946,Female,Other,Democrat,Post-grad,96,89,97,92,51,100,79,42,90,99,41,84,NA,NA,94,11
1974,Female,White,Republican,2-year,35,90,34,37,NA,43,97,20,8,45,34,82,14,69,NA,75
1966,Female,White,Independent,Post-grad,100,100,80,100,87,100,50,100,79,100,100,86,NA,30,50,NA
1960,Female,White,Republican,4-year,94,87,79,75,74,100,87,13,62,25,13,100,NA,76,24,53
1945,Female,White,Independent,Some college,88,88,88,88,51,95,85,34,75,83,21,99,16,53,3,75
1973,Female,Hispanic,Republican,4-year,30,80,52,68,43,11,80,10,69,50,62,60,66,20,40,60
1963,Female,Black,Republican,4-year,100,53,96,100,100,100,87,97,100,99,54,100,6,78,100,14
1960,Male,White,Republican,4-year,70,89,64,70,12,70,99,25,50,70,51,51,50,75,10,88
1952,Female,White,Democrat,4-year,99,66,97,86,93,98,33,99,99,99,83,75,1,8,99,5
1949,Female,White,Republican,Some college,100,100,94,62,NA,96,100,NA,NA,NA,NA,100,NA,NA,NA,100
1941,Male,White,Independent,No HS,81,85,82,NA,41,75,100,60,50,31,53,94,48,42,71,91
1943,Female,Hispanic,Democrat,High school graduate,91,86,99,93,14,96,55,47,60,94,81,93,46,44,90,9
1959,Female,White,Independent,4-year,70,91,69,51,34,90,85,18,70,59,51,100,34,50,18,59
1961,Female,White,Republican,Some college,30,86,35,67,0,100,70,10,1,1,5,95,50,80,2,70
1942,Female,Black,Democrat,2-year,78,69,75,100,56,100,51,99,65,100,75,85,3,48,100,5
1984,Female,White,Democrat,Post-grad,44,50,50,49,50,50,53,53,52,50,50,69,NA,5,61,NA
1957,Male,White,Independent,2-year,51,50,50,50,19,71,51,40,41,50,41,80,29,46,25,25
1959,Male,White,Democrat,2-year,53,53,49,50,51,50,69,6,48,50,49,74,23,11,25,39
1958,Female,White,Not sure,High school graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,Female,White,Democrat,Some college,95,88,91,78,63,100,96,55,78,77,61,96,52,67,80,31
1967,Male,White,Republican,Post-grad,97,95,81,97,67,89,94,39,88,85,39,95,88,94,38,74
1962,Male,White,Republican,Some college,96,96,97,96,92,96,95,75,82,94,66,94,51,89,80,86
1951,Female,White,Independent,Some college,100,100,90,72,21,48,99,20,12,100,70,94,NA,52,52,52
1950,Female,White,Democrat,Some college,51,98,50,99,50,99,97,61,50,100,100,90,NA,0,99,0
1965,Female,White,Independent,4-year,68,71,88,76,79,82,86,85,61,100,72,89,50,79,50,50
1950,Male,White,Independent,Post-grad,96,100,74,100,72,99,50,52,71,51,50,73,NA,29,69,69
1957,Male,White,Independent,4-year,50,50,50,50,2,51,50,26,50,51,50,99,50,5,10,50
1937,Female,White,Democrat,High school graduate,70,91,71,52,19,50,96,31,66,29,30,91,NA,91,41,49
1963,Female,Asian,Other,Post-grad,75,51,80,80,71,11,59,3,51,12,3,90,2,62,2,6
1956,Male,White,Republican,4-year,49,78,50,81,26,78,78,30,50,50,25,99,79,79,7,99
1957,Female,White,Independent,2-year,91,90,90,51,51,90,90,50,51,89,31,51,NA,NA,50,NA
1959,Female,White,Independent,4-year,73,76,44,72,69,75,74,45,11,84,47,65,NA,51,72,NA
1969,Female,Hispanic,Republican,Some college,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,Male,White,Democrat,Post-grad,61,78,80,87,46,79,100,61,60,61,56,99,50,60,1,50
1951,Female,Black,Democrat,Some college,84,77,89,77,76,50,87,50,74,77,52,80,NA,76,89,5
1953,Female,Native American,Independent,4-year,80,80,80,80,80,80,80,80,80,80,80,80,10,60,80,50
1940,Male,White,Republican,Post-grad,25,89,79,99,28,97,100,8,43,4,8,98,72,100,5,100
1966,Female,White,Democrat,4-year,89,24,86,84,89,89,21,89,87,93,94,48,0,0,73,2
1959,Female,White,Republican,4-year,78,79,68,70,53,100,59,70,57,65,51,89,21,51,49,61
1969,Female,White,Democrat,2-year,69,73,49,63,50,72,96,47,75,47,83,82,48,69,78,26
1965,Female,White,Republican,4-year,51,75,46,51,20,77,91,9,36,51,34,95,59,75,11,66
1957,Female,White,Democrat,2-year,93,94,85,100,86,100,95,78,91,94,73,86,50,70,89,63
1953,Female,White,Independent,Some college,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,Female,Mixed,Republican,2-year,50,50,50,50,51,51,70,45,50,50,30,99,51,65,32,50
1962,Female,White,Democrat,4-year,91,49,70,82,51,53,30,97,73,79,97,73,1,1,100,20
1947,Male,White,Other,4-year,81,78,78,81,80,79,80,80,79,80,31,80,21,49,89,6
1957,Female,White,Republican,4-year,29,81,11,9,30,32,99,11,27,3,84,48,1,81,2,78
1941,Female,White,Republican,High school graduate,31,80,60,22,0,50,100,30,6,0,50,100,50,100,2,90
1943,Male,White,Republican,High school graduate,50,81,78,78,39,82,80,30,78,51,41,90,39,50,29,51
1965,Female,White,Democrat,4-year,80,51,84,81,64,81,39,98,78,82,63,59,2,2,76,5
1961,Male,White,Democrat,High school graduate,58,90,36,100,86,44,72,41,54,39,75,100,50,58,93,29
1970,Male,White,Independent,Post-grad,50,50,50,50,50,50,50,40,50,50,40,40,10,15,30,15
1960,Female,White,Republican,4-year,69,79,63,48,21,68,98,32,47,52,24,90,48,48,5,98
1964,Male,White,Independent,Some college,97,73,100,67,58,59,100,47,51,100,NA,53,NA,NA,100,NA
1957,Female,White,Republican,Some college,100,100,100,100,100,92,100,59,100,NA,100,100,52,100,100,100
1945,Female,Asian,Democrat,High school graduate,51,51,51,51,50,51,51,52,51,54,53,52,NA,51,50,21
1936,Female,Black,Democrat,Post-grad,100,91,90,95,69,89,98,94,80,80,92,88,49,50,100,5
1961,Female,White,Not sure,High school graduate,NA,53,68,81,67,NA,50,74,72,73,46,71,89,48,88,83
1988,Male,White,Democrat,4-year,56,46,59,71,61,84,22,50,31,72,51,52,0,7,65,3
1976,Female,White,Republican,2-year,51,50,0,4,0,0,98,0,0,0,1,29,66,50,0,90
1937,Female,White,Democrat,Post-grad,50,50,71,79,20,81,63,37,73,22,79,40,51,42,81,6
1956,Female,White,Independent,High school graduate,41,80,37,53,45,51,40,45,40,95,9,59,NA,NA,74,14
1948,Female,White,Independent,2-year,100,100,99,100,99,99,100,97,99,98,3,99,0,2,100,1
1969,Female,White,Republican,4-year,60,80,59,90,40,93,99,1,52,5,40,100,50,98,16,72
1983,Female,Black,Independent,4-year,89,99,99,100,99,100,99,99,99,100,66,41,2,93,75,24
1971,Male,White,Independent,4-year,50,51,50,51,49,51,50,51,50,50,52,8,5,15,21,25
1987,Female,Mixed,Democrat,Post-grad,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,97,1,19,93,36
1963,Male,White,Republican,Some college,50,100,50,50,0,100,100,0,100,0,0,100,100,100,0,25
1960,Male,White,Other,Some college,81,81,81,NA,71,65,55,50,50,0,1,20,30,3,44,49
1943,Male,White,Republican,High school graduate,4,88,22,7,1,13,99,11,23,3,6,97,63,96,5,72
1974,Male,Black,Democrat,2-year,100,57,98,98,97,100,57,51,78,96,100,24,3,22,64,59
1953,Female,White,Republican,4-year,50,75,50,76,50,76,75,30,50,50,30,81,34,50,50,50
1954,Male,White,Republican,High school graduate,60,86,80,73,6,70,90,7,4,5,30,51,28,75,5,63
1952,Male,White,Independent,Post-grad,100,100,100,88,80,100,100,1,67,100,1,70,51,80,10,1
1942,Female,White,Democrat,4-year,63,93,62,56,31,39,91,81,69,26,51,94,53,88,76,30
1963,Female,White,Democrat,4-year,5,13,12,12,7,10,6,13,3,6,21,5,3,4,31,6
1939,Male,White,Republican,High school graduate,68,85,89,97,3,99,100,2,98,0,29,100,NA,88,3,71
1931,Female,White,Republican,Some college,68,92,77,31,100,92,NA,63,8,59,35,100,49,99,32,88
1959,Female,White,Republican,2-year,100,96,100,100,90,100,100,77,40,50,30,89,31,100,80,80
1955,Female,White,Republican,Some college,91,100,55,73,22,44,98,23,52,56,100,100,NA,72,52,64
1963,Female,White,Democrat,Post-grad,90,76,99,99,100,99,34,75,98,100,79,39,2,24,84,9
1957,Female,White,Not sure,4-year,73,84,30,88,43,91,59,90,62,90,1,98,0,28,17,50
1969,Male,Other,Republican,4-year,53,48,18,48,8,98,100,19,10,0,0,90,28,99,25,95
1967,Female,White,Independent,Some college,76,46,71,77,50,75,21,97,50,75,50,43,1,1,55,10
1950,Male,White,Republican,Post-grad,100,100,100,94,72,100,96,35,77,60,59,99,76,58,30,91
1981,Female,White,Democrat,4-year,51,80,40,79,12,100,50,74,40,99,51,99,2,2,59,1
1945,Female,White,Independent,4-year,51,51,52,50,51,50,31,80,51,51,10,50,0,0,40,2
1960,Female,White,Democrat,Post-grad,74,70,71,71,73,76,3,95,71,72,100,0,0,0,72,0
1958,Male,White,Democrat,High school graduate,78,98,51,40,10,83,99,49,22,90,25,80,NA,80,10,11
1958,Male,White,Independent,Post-grad,66,100,100,100,48,91,91,3,61,50,21,80,11,40,21,80
1976,Male,White,Independent,4-year,76,76,76,76,45,76,84,1,75,76,30,51,50,77,6,56
1948,Male,White,Republican,4-year,99,100,98,99,80,99,99,21,78,50,0,99,99,100,0,99
1958,Female,White,Democrat,4-year,69,58,63,66,50,66,56,65,66,76,56,75,38,52,77,46
